t_Ga,reservoir,ratio,model,literature,abs_diff,rel_error_pct
4.0,mantle,206/204,10.17,10.17,0.0,0.0
4.0,mantle,207/204,12.07,12.07,0.0,0.0
4.0,mantle,208/204,30.56,30.56,0.0,0.0
4.0,lower,206/204,10.17,10.17,0.0,0.0
4.0,lower,207/204,12.07,12.07,0.0,0.0
4.0,lower,208/204,30.56,30.56,0.0,0.0
4.0,upper,206/204,10.17,10.17,0.0,0.0
4.0,upper,207/204,12.07,12.07,0.0,0.0
4.0,upper,208/204,30.56,30.56,0.0,0.0
3.6,mantle,206/204,11.126725,11.21,-0.083275,0.7429
3.6,mantle,207/204,13.107576,13.2,-0.092424,0.7002
3.6,mantle,208/204,31.324435,31.34,-0.015565,0.0497
3.6,lower,206/204,10.785605,10.67,0.115605,1.0835
3.6,lower,207/204,12.737629,12.62,0.117629,0.9321
3.6,lower,208/204,31.338289,31.17,0.168289,0.5399
3.6,upper,206/204,11.604239,11.44,0.164239,1.4357
3.6,upper,207/204,13.625445,13.45,0.175445,1.3044
3.6,upper,208/204,31.725542,31.55,0.175542,0.5564
3.2,mantle,206/204,12.021822,12.18,-0.158178,1.2987
3.2,mantle,207/204,13.809647,13.95,-0.140353,1.0061
3.2,mantle,208/204,32.06334,32.23,-0.16666,0.5171
3.2,lower,206/204,11.558539,11.54,0.018539,0.1607
3.2,lower,207/204,13.400954,13.4,0.000954,0.0071
3.2,lower,208/204,32.120305,31.96,0.160305,0.5016
3.2,upper,206/204,12.771118,12.55,0.221118,1.7619
3.2,upper,207/204,14.476873,14.26,0.216873,1.5208
3.2,upper,208/204,32.699644,32.49,0.209644,0.6453
2.8,mantle,206/204,12.864565,13.06,-0.195435,1.4964
2.8,mantle,207/204,14.28868,14.45,-0.16132,1.1164
2.8,mantle,208/204,32.784802,33.01,-0.225198,0.6822
2.8,lower,206/204,12.330069,12.38,-0.049931,0.4033
2.8,lower,207/204,13.908281,13.98,-0.071719,0.513
