t_Ga,reservoir,ratio,model,literature,abs_diff,rel_error_pct
4.0,mantle,206/204,10.36,10.36,0.0,0.0
4.0,mantle,207/204,12.12,12.12,0.0,0.0
4.0,mantle,208/204,30.55,30.55,0.0,0.0
4.0,orogene,206/204,10.36,10.36,0.0,0.0
4.0,orogene,207/204,12.12,12.12,0.0,0.0
4.0,orogene,208/204,30.55,30.55,0.0,0.0
3.6,mantle,206/204,11.360816,11.36,0.000816,0.0072
3.6,mantle,207/204,13.205394,13.21,-0.004606,0.0349
3.6,mantle,208/204,31.341562,31.34,0.001562,0.005
3.6,orogene,206/204,11.419706,11.42,-0.000294,0.0026
3.6,orogene,207/204,13.26926,13.27,-0.00074,0.0056
3.6,orogene,208/204,31.404112,31.4,0.004112,0.0131
3.6,upper,206/204,11.613175,11.61,0.003175,0.0273
3.6,upper,207/204,13.479078,13.48,-0.000922,0.0068
3.6,upper,208/204,31.572456,31.57,0.002456,0.0078
3.6,lower,206/204,10.979196,10.98,-0.000804,0.0073
3.6,lower,207/204,12.791524,12.79,0.001524,0.0119
3.6,lower,208/204,31.411657,31.41,0.001657,0.0053
3.2,mantle,206/204,12.303107,12.3,0.003107,0.0253
3.2,mantle,207/204,13.941135,13.94,0.001135,0.0081
3.2,mantle,208/204,32.110049,32.11,4.9e-05,0.0002
3.2,orogene,206/204,12.47416,12.47,0.00416,0.0334
3.2,orogene,207/204,14.093459,14.09,0.003459,0.0245
3.2,orogene,208/204,32.296452,32.3,-0.003548,0.011
3.2,upper,206/204,12.689775,12.69,-0.000225,0.0018
3.2,upper,207/204,14.28529,14.29,-0.00471,0.033
3.2,upper,208/204,32.463687,32.46,0.003687,0.0114
3.2,lower,206/204,11.757756,11.76,-0.002244,0.0191
3.2,lower,207/204,13.457375,13.46,-0.002625,0.0195
3.2,lower,208/204,32.238045,32.24,-0.001955,0.0061
2.8,mantle,206/204,13.190221,13.19,0.000221,0.0017
2.8,mantle,207/204,14.439844,14.44,-0.000156,0.0011
2.8,mantle,208/204,32.860211,32.86,0.000211,0.0006
2.8,orogene,206/204,13.497888,13.5,-0.002112,0.0156
2.8,orogene,207/204,14.66731,14.67,-0.00269,0.0183
2.8,orogene,208/204,33.204162,33.2,0.004162,0.0125
2.8,upper,206/204,13.720237,13.72,0.000237,0.0017
2.8,upper,207/204,14.830785,14.83,0.000785,0.0053
